comparison,source,est,lo,hi,p_incoherence
All trials,direct,0.0422,0.0307,0.0589,
All trials,indirect,0.3549,0.2888,0.4343,
All trials,network,0.1955,0.1648,0.2311,0.00001
Ex. Nuwa 2025 (West Africa only),direct,0.067205513,0.024723526,0.165298888,
Ex. Nuwa 2025 (West Africa only),indirect,0.367879441,0.301194212,0.477113916,
Ex. Nuwa 2025 (West Africa only),network,0.332871084,0.272531793,0.39455371,0.00001
Ex Zongo 2015,direct,0.040762204,0.030197383,0.060810063,
Ex Zongo 2015,indirect,0.301194212,0.201896518,0.477113916,
Ex Zongo 2015,network,0.100258844,0.074273578,0.122456428,0.00001
Ex Traore 2024,direct,0.040762204,0.027323722,0.05502322,
Ex Traore 2024,indirect,0.367879441,0.22313016,0.431710523,
Ex Traore 2024,network,0.201896518,0.165298888,0.246596964,0.00001
Ex Bojang 2010 (a),direct,0.040762204,0.030197383,0.060810063,
Ex Bojang 2010 (a),indirect,0.332871084,0.301194212,0.427414932,
Ex Bojang 2010 (a),network,0.201896518,0.165298888,0.22313016,0.00001
