study,studyid,country,year,iso,iqr_lower,iqr_upper,median,median_100,mean,sd,median_100_bin
2,Traore 2024,Mali,2020,MLI,0.27431548,0.80276757,0.61188555,61.188557,0.61188555,0.27946958,2
3,Chandramohan 2021,Burkina Faso; Mali,2017,BFA;MLI,0.44729248,0.84774494,0.64400256,64.400253,0.64400256,0.24152157,2
4,Ndiaye 2019,Senegal,2011,SEN,0.38020957,0.74268836,0.57569194,57.569199,0.57569194,0.22525822,2
5,Thera 2018,Mali,2013,MLI,0.34538981,0.73212421,0.51955664,51.955662,0.51955664,0.21676907,1
6,Tagbor 2016,Ghana,2012,GHA,0.74660718,0.94300377,0.87313294,87.313293,0.87313294,0.14146776,2
7,Cisse 2016,Senegal,2009,SEN,0.34397531,0.69749123,0.52414286,52.414288,0.52414286,0.22380544,1
8,Zongo 2015,Burkina Faso,2009,BFA,0.40881056,0.73222184,0.57418096,57.418095,0.57418096,0.21682705,2
9,Tine 2011,Senegal,2010,SEN,0.370193,0.69987559,0.55037415,55.037418,0.55037415,0.21833387,1
10,Dicko 2011,Mali,2008,MLI,0.2108403,0.63605773,0.368384,36.838398,0.368384,0.24124284,1
11,Konate 2011,Burkina Faso,2008,BFA,0.43520153,0.77029049,0.60199535,60.199535,0.60199535,0.22246285,2
12,Sesay 2011,Gambia,2008,GMB,0.38880357,0.75617665,0.59665704,59.665703,0.59665704,0.22476287,2
13,Bojang 2010,Gambia,2007,GMB,0.26521683,0.60084522,0.43022057,43.022057,0.43022057,0.2146555,1
15,Sokhna 2008,Senegal,2004,SEN,0.27028832,0.62188911,0.44048724,44.048721,0.44048724,0.21591292,1
16,Dicko 2008,Mali,2002,MLI,0.16112512,0.56091446,0.31663033,31.663033,0.31663033,0.23402995,1
17,Kweku 2008,Ghana,2005,GHA,0.61300164,0.87252128,0.75532955,75.532951,0.75532955,0.1747507,2
18,Cisse 2006,Senegal,2002,SEN,0.2047544,0.56040794,0.35832351,35.832352,0.35832351,0.22861739,1
19,Bojang 22010,Gambia,2003/4,GMB,0.32121351,0.62740958,0.48263499,48.263496,0.48263499,0.21134904,1
