,study,studyid,trt1,trt2,logte,sete
1,1,Nuwa2025,spaq,placebo/nodrug,-2.995732274,0.14275913
2,1,Nuwa2025,dp,placebo/nodrug,-3.218875825,0.17682326
3,1,Nuwa2025,dp,spaq,-0.105360516,0.222967072
4,3,Chandramohan2021,rtss,spaq,0.016857117,0.09032894
5,3,Chandramohan2021,spaq+rtss,spaq,-1.262308381,0.124736436
6,3,Chandramohan2021,spaq+rtss,rtss,-1.276543497,0.12511114
7,4,Ndiaye2019,spaq,placebo/nodrug,-1.714798428,0.247296061
8,6,Tagbor2016,spaq,placebo/nodrug,-0.590153903,0.168508343
9,7,Cisse2016,spaq,placebo/nodrug,-0.84397007,0.086817808
10,8,Zongo2015,spaq,dp,-0.205519048,0.106001442
11,10,Dicko2011,spaq,placebo/nodrug,-1.771956842,0.090988506
12,11,Konate2011,spaq,placebo/nodrug,-1.237874356,0.052969226
13,12,Sesay2011,spaq,placebo/nodrug,-0.673344553,1.207317221
14,13,Bojang2010,spaq,dp,-0.57381288,0.626783171
15,13,Bojang2010,dp,sppq,0.585228364,0.626783171
16,13,Bojang2010,spaq,sppq,0.011415484,0.707106781
17,15,Sokhna2008,spaq,spas,-0.657208529,0.225542823
18,15,Sokhna2008,spaq,asaq,-0.830689621,0.241906012
19,15,Sokhna2008,spas,asaq,-0.173481092,0.17142953
20,16,Dicko2008,sp,placebo/nodrug,-1.184170177,0.212147157
21,17,Kweku2008,sp,asaq_bi,-0.051647841,0.134546956
22,17,Kweku2008,sp,asaq,0.946222878,0.177920893
23,17,Kweku2008,sp,placebo,-0.386751846,0.119971048
24,17,Kweku2008,asaq_bi,asaq,0.997870719,0.178610147
25,17,Kweku2008,asaq_bi,placebo,-0.335104005,0.120990879
26,17,Kweku2008,asaq,placebo,-1.332974724,0.167904001
27,18,Cisse2006,spas,placebo,-1.6094379,0.17682326
